,Name,Price,Links
94,Samsung B310E Dual SIM (SM-B310E) - Blue/Black,GH₵ 195.00,https://www.jumia.com.gh/phones-tablets/samsung-b310e-dual-sim-sm-b310e-blueblack-32863281.html
95,Tecno T301 Dual SIM - 4MB HDD - 4MB RAM - Gold + Free Extra Battery,GH₵ 130.00,https://www.jumia.com.gh/phones-tablets/t349-dual-sim-4mb-hdd-4mb-ram-black-free-extra-battery-tecno-mpg16188.html
96,Nokia 105 Dual SIM 4th Generation  - 32MB ROM‎ - 4MB RAM Cell Phone - Black + Free 3310 Phone,GH₵ 230.00,https://www.jumia.com.gh/phones-tablets/105-dual-sim-4th-generation-32mb-rom-4mb-ram-cell-phone-black-free-3310-phone-nokia-mpg453641.html
97,Nokia C2-05 2GSM 2.0''  Slide Touch &Type Mp3 Player Mobile Phone,GH₵ 142.00,https://www.jumia.com.gh/phones-tablets/c2-05-2gsm-2.0-slide-touch-type-mp3-player-mobile-phone-nokia-mpg449407.html
98,Itel 2173 Dual Cell Phone - 32MB ROM - 32MB RAM - Black/ Blue + Free Battery & Earpiece,GH₵ 115.00,https://www.jumia.com.gh/phones-tablets/2173-dual-cell-phone-512mb-rom-512mb-ram-black-blue-free-battery-earpiece-itel-mpg453632.html
99,Bontel Dual SIM Phone with FM Radio + FREE P47 Headphone  - Black/Multicolour,GH₵ 104.00,https://www.jumia.com.gh/phones-tablets/dual-sim-phone-with-fm-radio-free-p47-headphone-blackmulticolour-bontel-mpg453617.html
100,Itel 5081 Triple SIM Phone  Wireless FM Radio - Dark Blue,GH₵ 120.00,https://www.jumia.com.gh/phones-tablets/itel-5081-triple-sim-phone-wireless-fm-radio-dark-blue-18120412.html
101,Nokia 105 (4th Edition) Dual SIM Cell Phone - Blue,GH₵ 121.00,https://www.jumia.com.gh/phones-tablets/105-4th-edition-dual-sim-blue-nokia-mpg437862.html
102,"X Tigi T1 - Walkie Talkie Telephone Tri SIM - 2.4"" - 64MB - Black",GH₵ 139.00,https://www.jumia.com.gh/phones-tablets/t1-2.4-tri-sim-talkie-walkie-telephone-64mb-2mpx-black-x-tigi-mpg16791.html
103,Itel It 5606 Dual SIM - 4MB ROM - 4MB RAM - 2500mAh - Dark Blue,GH₵ 98.00,https://www.jumia.com.gh/phones-tablets/it-5606-dual-sim-4mb-rom-4mb-ram-2500mah-dark-blue-itel-mpg441171.html
104,Itel It 2173  Dual SIM Phone - Black + Free P47 Bluetooth Headset,GH₵ 119.00,https://www.jumia.com.gh/phones-tablets/it-2173-dual-sim-phone-black-free-p47-bluetooth-headset-itel-mpg438711.html
105,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 700.00,https://www.jumia.com.gh/phones-tablets/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-blue-41951200.html
